Station,Region,Latitude,Longitude,Name,City,State,Country
LRSV,asia,47.633,26.25,"Suceava, Romania",Suceava,, Romania
OMDB,asia,25.25,55.333,"Dubai, AE",Dubai,, AE
RCKH,asia,22.583,120.35,"Kaohsiung Intl Arpt, Taiwan",Kaohsiung Intl Arpt,, Taiwan
RCSS,asia,25.067,121.55,"Sungshan/taipei, Taiwan",Sungshan/taipei,, Taiwan
RCTP,asia,25.083,121.217,"Chiang Kai Shek, Taiwan",Chiang Kai Shek,, Taiwan
RJAA,asia,35.767,140.383,"New Tokyo Internati, Japan",New Tokyo Internati,, Japan
RJAH,asia,36.183,140.417,"Hyakuri Ab, Japan",Hyakuri Ab,, Japan
RJBD,asia,33.667,135.367,"Nankishirahama Airp, Japan",Nankishirahama Airp,, Japan
RJCB,asia,42.733,143.217,"Obihiro Airport, Japan",Obihiro Airport,, Japan
RJCH,asia,41.767,140.817,"Hakodate Airport, Japan",Hakodate Airport,, Japan
RJCK,asia,43.033,144.2,"Kushiro Airport, Japan",Kushiro Airport,, Japan
RJCM,asia,43.883,144.167,"Memambetsu Airport, Japan",Memambetsu Airport,, Japan
RJCN,asia,43.583,144.967,"Nakashibetsu Airpor, Japan",Nakashibetsu Airpor,, Japan
RJCO,asia,43.117,141.383,"Sapporo Ab, Japan",Sapporo Ab,, Japan
RJCW,asia,45.4,141.8,"Wakkanai Airport, Japan",Wakkanai Airport,, Japan
RJDC,asia,33.933,131.283,"Yamaguchi Ube Airpo, Japan",Yamaguchi Ube Airpo,, Japan
RJDT,asia,34.283,129.333,"Tsushima Airport, Japan",Tsushima Airport,, Japan
RJEB,asia,44.3,143.4,"Monbetsu Airport, Japan",Monbetsu Airport,, Japan
RJEC,asia,43.667,142.45,"Asahikawa Airport, Japan",Asahikawa Airport,, Japan
RJFE,asia,32.667,128.833,"Fukue Airport, Japan",Fukue Airport,, Japan
RJFF,asia,33.583,130.449,"Fukuoka Airport, Japan",Fukuoka Airport,, Japan
RJFG,asia,30.55,130.949,"Tanegashima Airport, Japan",Tanegashima Airport,, Japan
RJFK,asia,31.8,130.717,"Kagoshima Airport, Japan",Kagoshima Airport,, Japan
RJFM,asia,31.867,131.45,"Miyazaki Airport, Japan",Miyazaki Airport,, Japan
RJFO,asia,33.483,131.733,"Oita Airport, Japan",Oita Airport,, Japan
RJFR,asia,33.833,130.949,"Kitakyushu Airport, Japan",Kitakyushu Airport,, Japan
RJFT,asia,32.833,130.85,"Kumamoto Airport, Japan",Kumamoto Airport,, Japan
RJFU,asia,32.917,129.917,"Nagasaki Airport, Japan",Nagasaki Airport,, Japan
RJFY,asia,31.367,130.833,"Kanoya Ab, Japan",Kanoya Ab,, Japan
RJNA,asia,35.25,136.917,"Nagoya Airport, Japan",Nagoya Airport,, Japan
RJNH,asia,34.75,137.7,"Hamamatsu Ab, Japan",Hamamatsu Ab,, Japan
RJNK,asia,36.4,136.4,"Komatsu Ab, Japan",Komatsu Ab,, Japan
RJNT,asia,36.65,137.183,"Toyama Airport, Japan",Toyama Airport,, Japan
RJNY,asia,34.817,138.3,"Shizuhama Ab, Japan",Shizuhama Ab,, Japan
RJOA,asia,34.433,132.917,"Hiroshima Airport, Japan",Hiroshima Airport,, Japan
RJOB,asia,34.75,133.85,"Okayama Airport, Japan",Okayama Airport,, Japan
RJOC,asia,35.417,132.883,"Izumo Airport, Japan",Izumo Airport,, Japan
RJOK,asia,33.55,133.667,"Kochi Airport, Japan",Kochi Airport,, Japan
RJOM,asia,33.833,132.7,"Matsuyama Airport, Japan",Matsuyama Airport,, Japan
