Station,Region,Latitude,Longitude,Name,City,Country
BIAR,europe,65.683,-18.083,"Akureyri, Iceland",Akureyri, Iceland
BIHN,europe,64.3,-15.217,"Akurnes, Iceland",Akurnes, Iceland
BIRK,europe,64.132,-21.933,"Reykjavik, Iceland",Reykjavik, Iceland
DAAG,europe,36.683,3.217,"Dar-el-beida, Algeria",Dar-el-beida, Algeria
DAAS,europe,36.183,5.25,"Setif, Algeria",Setif, Algeria
DAAY,europe,33.583,-0.283,"Mecheria, Algeria",Mecheria, Algeria
DABB,europe,36.833,7.817,"Annaba, Algeria",Annaba, Algeria
DABC,europe,36.283,6.617,"Constantine, Algeria",Constantine, Algeria
DABT,europe,35.75,6.317,"Batna, Algeria",Batna, Algeria
DAOO,europe,35.633,-0.6,"Oran-senia, Algeria",Oran-senia, Algeria
DAOR,europe,31.5,-2.25,"Bechar, Algeria",Bechar, Algeria
DAUB,europe,34.8,5.733,"Biskra, Algeria",Biskra, Algeria
DAUG,europe,32.4,3.8,"Ghardaia, Algeria",Ghardaia, Algeria
DAUO,europe,33.5,6.783,"El-oued, Algeria",El-oued, Algeria
DTKA,europe,36.95,8.75,"Tabarka, Tunisia",Tabarka, Tunisia
DTTA,europe,36.833,10.233,"Tunis-carthage, Tunisia",Tunis-carthage, Tunisia
DTTB,europe,37.25,9.8,"Bizerte, Tunisia",Bizerte, Tunisia
DTTD,europe,32.317,10.4,"Remada, Tunisia",Remada, Tunisia
DTTF,europe,34.417,8.817,"Gafsa, Tunisia",Gafsa, Tunisia
DTTG,europe,33.883,10.1,"Gabes, Tunisia",Gabes, Tunisia
DTTJ,europe,33.867,10.767,"Djerba Mellita, Tunisia",Djerba Mellita, Tunisia
DTTX,europe,34.717,10.683,"Sfax El-maou, Tunisia",Sfax El-maou, Tunisia
DTTZ,europe,33.917,8.167,"Tozeur, Tunisia",Tozeur, Tunisia
EBAW,europe,51.2,4.467,"Antwerpen/deurne, Belgium",Antwerpen/deurne, Belgium
EBBE,europe,50.75,4.767,"Beauvechain, Belgium",Beauvechain, Belgium
EBBL,europe,51.167,5.467,"Kleine Brogel, Belgium",Kleine Brogel, Belgium
EBBR,europe,50.9,4.533,"Bruxelles National, Belgium",Bruxelles National, Belgium
EBCI,europe,50.467,4.45,"Charleroi/gosselies, Belgium",Charleroi/gosselies, Belgium
