Station,Region,Latitude,Longitude,Name,City_Name,State
CWBD,northamerica,50.55,-103.65,"Indian Head Cda, Canada",Indian Head Cda, Canada
CWBO,northamerica,50.55,-111.85,"Brooks, Canada",Brooks, Canada
CWFJ,northamerica,49.2,-113.283,"Cardston, Canada",Cardston, Canada
CWJX,northamerica,50.9,-109.5,"Leader Airport, Canada",Leader Airport, Canada
CWQH,northamerica,45.367,-71.817,"Lenoxville, Canada",Lenoxville, Canada
CWRY,northamerica,49.133,-112.05,"Milk River, Canada",Milk River, Canada
CWVC,northamerica,50.267,-107.733,"Swift Current Cda, Canada",Swift Current Cda, Canada
CWWP,northamerica,50.65,-99.933,"Wasagaming, Canada",Wasagaming, Canada
CWYE,northamerica,51.483,-107.05,"Outlook Pfra, Canada",Outlook Pfra, Canada
CXMW,northamerica,50.033,-110.717,"Medicine Hat Rcs, Canada",Medicine Hat Rcs, Canada
CYAM,northamerica,46.4851,-84.5096,"Sault Ste Marie, ON",Sault Ste Marie, ON
CYBR,northamerica,49.91,-99.9522,"Brandon, MB",Brandon, MB
CYCT,northamerica,52.083,-111.45,"Coronation, Canada",Coronation, Canada
CYEG,northamerica,53.3099,-113.579,"Edmonton Interna, AB",Edmonton Interna, AB
CYEN,northamerica,49.2103,-102.966,"Estevan, SK",Estevan, SK
CYFC,northamerica,45.8689,-66.5372,"Fredericton, NB",Fredericton, NB
CYHM,northamerica,43.1737,-79.9351,"Hamilton, ON",Hamilton, ON
CYHZ,northamerica,44.8812,-63.5087,"Halifax Internat, NS",Halifax Internat, NS
CYJN,northamerica,45.3,-73.35,"L Acadie, Quebec, Canada",L Acadie,Canada
CYLL,northamerica,53.3106,-110.074,"Lloydminster, AB",Lloydminster, AB
CYLW,northamerica,49.9535,-119.375,"Kelowna Airport, BC",Kelowna Airport, BC
CYMM,northamerica,56.6533,-111.223,"Ft. Mcmurray, AB",Ft. Mcmurray, AB
CYOD,northamerica,54.41,-110.28,"Cold Lake, AB",Cold Lake, AB
CYOW,northamerica,45.3225,-75.6673,"Ottawa/macdonald, ON",Ottawa/macdonald, ON
CYPA,northamerica,53.2146,-105.673,"Prince Albert, SK",Prince Albert, SK
