Station,Region,Latitude,Longitude,Name,City,State,Country
SAAC,southamerica,-31.3,-58.017,"Concordia Aero, Argentina",Concordia Aero,Entre_Rios, Argentina
SAAG,southamerica,-33,-58.617,"Gualeguaychu Aero, Argentina",Gualeguaychu Aero,Entre_Rios, Argentina
SAAJ,southamerica,-34.55,-60.917,"Junin Aero, Argentina",Junin Aero,Buenos_Aires, Argentina
SAAP,southamerica,-31.783,-60.483,"Parana Aero, Argentina",Parana Aero,Entre_Rios, Argentina
SAAR,southamerica,-32.917,-60.783,"Rosario Aero, Argentina",Rosario Aero,Santa_Fe, Argentina
SAAV,southamerica,-31.7,-60.817,"Sauce Viejo Aero, Argentina",Sauce Viejo Aero,Santa_Fe, Argentina
SACO,southamerica,-31.317,-64.217,"Cordoba Aero, Argentina",Cordoba Aero,Cordoba, Argentina
SAEZ,southamerica,-34.817,-58.533,"Ezeiza Aero, Argentina",Ezeiza Aero,Buenos_Aires, Argentina
SANE,southamerica,-27.767,-64.3,"Santiago Del Estero, Argentina",Santiago Del Estero,Santiago_del_Estero, Argentina
SANT,southamerica,-26.833,-65.2,"Tucuman/teniente Be, Argentina",Tucuman/teniente Be,Tucuman, Argentina
SANW,southamerica,-29.883,-61.95,"Ceres Aero, Argentina",Ceres Aero,Santa_Fe, Argentina
SAOC,southamerica,-33.117,-64.233,"Rio Cuarto Aero, Argentina",Rio Cuarto Aero,Cordoba, Argentina
SAOL,southamerica,-34.133,-63.367,"Laboulaye Aero, Argentina",Laboulaye Aero,Cordoba, Argentina
SAOM,southamerica,-32.7,-62.15,"Marcos Juarez Aero, Argentina",Marcos Juarez Aero,Cordoba, Argentina
SAOR,southamerica,-33.733,-65.382,"Villa Reynolds Aero, Argentina",Villa Reynolds Aero,San_Luis, Argentina
SAOU,southamerica,-33.267,-66.35,"San Luis Aero, Argentina",San Luis Aero,San_Luis, Argentina
SARC,southamerica,-27.45,-58.767,"Corrientes Aero., Argentina",Corrientes Aero.,Entre_Rios, Argentina
SARE,southamerica,-27.45,-59.05,"Resistencia Aero, Argentina",Resistencia Aero,Chaco, Argentina
SARF,southamerica,-26.2,-58.233,"Formosa Aero, Argentina",Formosa Aero,Chaco, Argentina
SASA,southamerica,-24.85,-65.483,"Salta Aero, Argentina",Salta Aero,Salta, Argentina
SATR,southamerica,-29.2,-59.683,"Reconquista, Argentina",Reconquista,Santa_Fe, Argentina
SAZB,southamerica,-38.733,-62.167,"Bahia Blanca Aero, Argentina",Bahia Blanca Aero,Buenos_Aires, Argentina
SAZI,southamerica,-36.183,-61.067,"Bolivar, Argentina",Bolivar,Buenos_Aires, Argentina
SAZM,southamerica,-37.933,-57.583,"Mar Del Plata Aero, Argentina",Mar Del Plata Aero,Buenos_Aires, Argentina
SAZR,southamerica,-36.567,-64.266,"Santa Rosa Aero, Argentina",Santa Rosa Aero,La_Pampa, Argentina
SAZT,southamerica,-37.233,-59.25,"Tandil Aero, Argentina",Tandil Aero,Buenos_Aires, Argentina
SBAS,southamerica,-22.8163,-50.8019,"Pedrinhaspaulista-sp, Brazil",Pedrinhaspaulista-sp,SP, Brazil
SBAT,southamerica,-9.867,-56.1,"Alta Floresta /aero, Brazil",Alta Floresta /aero,MT, Brazil
SBAV,southamerica,-23.0238,-54.0232,"Navirai-ms, Brazil",Navirai-ms,MS, Brazil
SBBE,southamerica,-1.383,-48.483,"Belem (aeroporto), Brazil",Belem (aeroporto),Para, Brazil
SBBG,southamerica,-31.35,-54.117,"Bage (aeroporto), Brazil",Bage (aeroporto),RS, Brazil
SBBI,southamerica,-25.417,-49.267,"Curitiba, Brazil",Curitiba,PR, Brazil
SBBR,southamerica,-15.867,-47.933,"Brasilia /aeroporto, Brazil",Brasilia /aeroporto,GO, Brazil
SBBU,southamerica,-22.317,-49.117,"Bauru, Brazil",Bauru,SP, Brazil
SBBW,southamerica,-15.867,-52.383,"Barra Do Garcas, Brazil",Barra Do Garcas,MT, Brazil
SBCA,southamerica,-25,-53.5,"Cascavel, Brazil",Cascavel,PR, Brazil
SBCC,southamerica,-9.333,-54.967,"Cachimbo Aero, Brazil",Cachimbo Aero,Para, Brazil
SBCG,southamerica,-20.467,-54.667,"Campo Grande /aerop, Brazil",Campo Grande /aerop,MS, Brazil
SBCH,southamerica,-27.117,-52.617,"Chapeco, Brazil",Chapeco,SC, Brazil
SBCV,southamerica,-17.633,-39.25,"Caravelas /aeroport, Brazil",Caravelas /aeroport,BA, Brazil
SBCX,southamerica,-29.167,-51.2,"Caxias Do Sul, Brazil",Caxias Do Sul,RS, Brazil
SBCY,southamerica,-15.65,-56.1,"Cuiaba (aeroporto), Brazil",Cuiaba (aeroporto),MT, Brazil
SBDN,southamerica,-22.117,-51.383,"Presidente Prudente, Brazil",Presidente Prudente,SP, Brazil
SBEG,southamerica,-3.033,-60.05,"Eduardo Gomes Intl, Brazil",Eduardo Gomes Intl,Amazon, Brazil
SBFC,southamerica,-20.55,-47.433,"Franca, Brazil",Franca,SP, Brazil
